Goal,Optimal_Actions,LLM_Optimal_Actions,Vital_Action_Predicates,Vital_Objects,Time_Limit_Exceeded,Error,Expanded_Number,Planning_Time_Total,Current_Cost,Action_Number,Recorded_Action_List,Tick_Time
IsPlugged_tv & IsIn_creamybuns_coffeemaker & IsClose_coffeemaker,"['Walk_creamybuns', 'RightGrab_creamybuns', 'Walk_coffeemaker', 'PlugIn_coffeemaker', 'Open_coffeemaker', 'RightPutIn_creamybuns_coffeemaker', 'Close_coffeemaker', 'Walk_tv', 'PlugIn_tv']","['Walk_tv', 'PlugIn_tv', 'Walk_creamybuns', 'RightGrab_creamybuns', 'Walk_coffeemaker', 'Close_coffeemaker']","['Walk', 'RightGrab', 'PlugIn', 'Open', 'RightPutIn', 'Close']","['creamybuns', 'coffeemaker', 'tv']",True,True,352,5.019271373748779,0,0,[],6
IsNear_self_cookingpot & IsSwitchedOn_oven & IsPlugged_cellphone,"['Walk_cellphone', 'PlugIn_cellphone', 'Walk_oven', 'PlugIn_oven', 'SwitchOn_oven', 'Walk_cookingpot']","['Walk_cookingpot', 'RightGrab_cookingpot', 'Walk_oven', 'SwitchOn_oven', 'Walk_cellphone', 'PlugIn_cellphone']","['Walk', 'PlugIn', 'SwitchOn']","['cellphone', 'oven', 'cookingpot']",True,True,331,5.009631633758545,0,0,[],1649
IsClean_cuttingboard & IsOn_hairproduct_nightstand & IsOpen_milk,"['Walk_milk', 'Open_milk', 'Walk_hairproduct', 'LeftGrab_hairproduct', 'Walk_rag', 'RightGrab_rag', 'Walk_cuttingboard', 'Wipe_cuttingboard', 'Walk_nightstand', 'LeftPut_hairproduct_nightstand']","['Walk_cuttingboard', 'RightGrab_duster', 'Wipe_cuttingboard', 'Walk_hairproduct', 'RightGrab_hairproduct', 'Walk_nightstand', 'Open_milk']","['Walk', 'Open', 'LeftGrab', 'RightGrab', 'Wipe', 'LeftPut']","['milk', 'hairproduct', 'rag', 'cuttingboard', 'nightstand']",True,True,416,5.006694793701172,0,0,[],1962
IsPlugged_coffeemaker & IsCut_pie & IsCut_carrot,"['Walk_coffeemaker', 'Open_coffeemaker', 'PlugIn_coffeemaker', 'Walk_carrot', 'LeftGrab_carrot', 'Walk_kitchenknife', 'RightGrab_kitchenknife', 'Cut_carrot', 'Walk_coffeemaker', 'LeftPutIn_carrot_coffeemaker', 'Walk_pie', 'LeftGrab_pie', 'Cut_pie']","['Walk_coffeemaker', 'PlugIn_coffeemaker', 'Walk_kitchenknife', 'RightGrab_kitchenknife', 'Walk_pie', 'RightGrab_pie', 'Cut_pie', 'Walk_carrot', 'RightGrab_carrot', 'Cut_carrot']","['Walk', 'Open', 'PlugIn', 'LeftGrab', 'RightGrab', 'Cut', 'LeftPutIn']","['coffeemaker', 'carrot', 'kitchenknife', 'pie']",True,True,213,5.017186164855957,0,0,[],995
IsCut_peach & IsIn_mug_nightstand & IsClose_nightstand,"['Walk_mug', 'RightGrab_mug', 'Walk_nightstand', 'Open_nightstand', 'RightPutIn_mug_nightstand', 'Close_nightstand', 'Walk_peach', 'LeftGrab_peach', 'Walk_kitchenknife', 'RightGrab_kitchenknife', 'Cut_peach']","['Walk_peach', 'RightGrab_peach', 'Walk_kitchenknife', 'RightGrab_kitchenknife', 'Walk_mug', 'RightPutIn_peach_mug', 'RightPutIn_kitchenknife_mug']","['Walk', 'RightGrab', 'Open', 'RightPutIn', 'Close', 'LeftGrab', 'Cut']","['mug', 'nightstand', 'peach', 'kitchenknife']",True,True,450,5.012848377227783,0,0,[],18
IsOpen_stove & IsOpen_oven,"['Walk_stove', 'Open_stove', 'Walk_oven', 'Open_oven']","['Walk_stove', 'Open_stove', 'Walk_oven', 'Open_oven']","['Walk', 'Open']","['stove', 'oven']",False,False,8,0.2955911159515381,36,4,"['Walk(stove)', 'Open(stove)', 'Walk(oven)', 'Open(oven)']",131
IsIn_cellphone_cookingpot & IsClose_cookingpot & IsSwitchedOn_remotecontrol,"['Walk_remotecontrol', 'SwitchOn_remotecontrol', 'Walk_cellphone', 'RightGrab_cellphone', 'Walk_cookingpot', 'Open_cookingpot', 'RightPutIn_cellphone_cookingpot', 'Close_cookingpot']","['Walk_cellphone', 'RightGrab_cellphone', 'Walk_cookingpot', 'RightPutIn_cellphone_cookingpot', 'Close_cookingpot', 'Walk_remotecontrol', 'SwitchOn_remotecontrol']","['Walk', 'SwitchOn', 'RightGrab', 'Open', 'RightPutIn', 'Close']","['remotecontrol', 'cellphone', 'cookingpot']",False,False,38,2.82240891456604,74,8,"['Walk(remotecontrol)', 'SwitchOn(remotecontrol)', 'Walk(cellphone)', 'RightGrab(cellphone)', 'Walk(cookingpot)', 'Open(cookingpot)', 'RightPutIn(cellphone,cookingpot)', 'Close(cookingpot)']",1158
IsSwitchedOn_cellphone & IsPlugged_mouse & IsPlugged_tv,"['Walk_tv', 'PlugIn_tv', 'Walk_cellphone', 'PlugIn_cellphone', 'SwitchOn_cellphone', 'Walk_mouse', 'PlugIn_mouse']","['Walk_mouse', 'RightGrab_mouse', 'Walk_wallphone', 'SwitchOn_wallphone', 'Walk_tv', 'PlugIn_tv', 'SwitchOn_tv', 'Walk_cellphone', 'SwitchOn_cellphone']","['Walk', 'PlugIn', 'SwitchOn']","['tv', 'cellphone', 'mouse']",True,True,390,5.00336766242981,0,0,[],6
IsIn_slippers_desk & IsClose_desk & IsSwitchedOn_candle,"['Walk_slippers', 'RightGrab_slippers', 'Walk_desk', 'Open_desk', 'RightPutIn_slippers_desk', 'Close_desk', 'Walk_candle', 'SwitchOn_candle']","['Walk_slippers', 'RightGrab_slippers', 'Walk_desk', 'RightPutIn_slippers_desk', 'Close_desk', 'Walk_candle', 'SwitchOn_candle']","['Walk', 'RightGrab', 'Open', 'RightPutIn', 'Close', 'SwitchOn']","['slippers', 'desk', 'candle']",False,False,44,2.937873601913452,74,8,"['Walk(slippers)', 'RightGrab(slippers)', 'Walk(desk)', 'Open(desk)', 'RightPutIn(slippers,desk)', 'Close(desk)', 'Walk(candle)', 'SwitchOn(candle)']",1196
IsIn_oventray_oven & IsClose_oven & IsSwitchedOn_faucet,"['Walk_oventray', 'RightGrab_oventray', 'Walk_faucet', 'SwitchOn_faucet', 'Walk_oven', 'PlugIn_oven', 'Open_oven', 'RightPutIn_oventray_oven', 'Close_oven']","['Walk_oventray', 'RightGrab_oventray', 'Walk_oven', 'Close_oven', 'Walk_faucet', 'SwitchOn_faucet']","['Walk', 'RightGrab', 'SwitchOn', 'PlugIn', 'Open', 'RightPutIn', 'Close']","['oventray', 'faucet', 'oven']",True,True,403,5.011291742324829,0,0,[],6
