Goal,Optimal_Actions,LLM_Optimal_Actions,Vital_Action_Predicates,Vital_Objects,Time_Limit_Exceeded,Error,Tree_Expanded_Number,Traversed_Number,Exploration_Number,Planning_Time_Total,Current_Cost,Action_Number,Recorded_Action_List,Tick_Time
Low_ACTemperature,"['Turn_AC_On', 'Turn_ACTemperature_Down']",['Turn_ACTemperature_Down'],['Turn'],"['AC', 'On', 'ACTemperature', 'Down']",False,False,3,4,3,0.0003142356872558594,6,2,"['Turn(AC,On)', 'Turn(ACTemperature,Down)']",29
RobotNear_BrightTable2,['MoveTo_BrightTable2'],['MoveTo_BrightTable2'],['MoveTo'],['BrightTable2'],False,False,2,2,2,0.00015592575073242188,15,1,['MoveTo(BrightTable2)'],11
Low_ACTemperature,"['Turn_AC_On', 'Turn_ACTemperature_Down']",['Turn_ACTemperature_Down'],['Turn'],"['AC', 'On', 'ACTemperature', 'Down']",False,False,3,4,3,0.0002849102020263672,6,2,"['Turn(AC,On)', 'Turn(ACTemperature,Down)']",29
Exists_Water,['Make_Water'],['Make_Water'],['Make'],['Water'],False,False,2,2,2,0.00015878677368164062,5,1,['Make(Water)'],11
Holding_Yogurt,"['MoveTo_Yogurt', 'PickUp_Yogurt']","['MoveTo_Yogurt', 'PickUp_Yogurt']","['MoveTo', 'PickUp']",['Yogurt'],False,False,4,5,4,0.0004112720489501953,17,2,"['MoveTo(Yogurt)', 'PickUp(Yogurt)']",27
Active_HallLight,['Turn_HallLight_On'],['Turn_HallLight_On'],['Turn'],"['HallLight', 'On']",False,False,2,2,2,0.00014972686767578125,3,1,"['Turn(HallLight,On)']",11
Holding_Yogurt,"['MoveTo_Yogurt', 'PickUp_Yogurt']","['MoveTo_Yogurt', 'PickUp_Yogurt']","['MoveTo', 'PickUp']",['Yogurt'],False,False,4,5,4,0.00041747093200683594,17,2,"['MoveTo(Yogurt)', 'PickUp(Yogurt)']",27
Active_HallLight,['Turn_HallLight_On'],['Turn_HallLight_On'],['Turn'],"['HallLight', 'On']",False,False,2,2,2,0.00015091896057128906,3,1,"['Turn(HallLight,On)']",11
Exists_Dessert,['Make_Dessert'],['Make_Dessert'],['Make'],['Dessert'],False,False,2,2,2,0.00015473365783691406,5,1,['Make(Dessert)'],11
IsClean_Floor,['Clean_Floor'],['Turn_Curtain_Off'],['Clean'],['Floor'],False,False,2,2,2,0.0001461505889892578,10,1,['Clean(Floor)'],11
