Goal,Optimal_Actions,LLM_Optimal_Actions,Vital_Action_Predicates,Vital_Objects,Time_Limit_Exceeded,Error,Expanded_Number,Planning_Time_Total,Current_Cost,Action_Number,Recorded_Action_List,Tick_Time
IsSwitchedOn_microwave & IsNear_self_chips & IsSwitchedOn_microwave,"['Walk_microwave', 'SwitchOn_microwave', 'Walk_chips']","['Walk_chips', 'RightGrab_chips', 'Walk_microwave', 'SwitchOn_microwave']","['Walk', 'SwitchOn']","['microwave', 'chips']",False,False,4,0.002000093460083008,38,3,"['Walk(microwave)', 'SwitchOn(microwave)', 'Walk(chips)']",57
IsSwitchedOn_computer & IsOn_waterglass_cabinet,"['Walk_waterglass', 'RightGrab_waterglass', 'Walk_computer', 'SwitchOn_computer', 'Walk_cabinet', 'RightPut_waterglass_cabinet']","['Walk_computer', 'SwitchOn_computer', 'Walk_cabinet', 'RightGrab_waterglass', 'RightPut_waterglass_cabinet']","['Walk', 'RightGrab', 'SwitchOn', 'RightPut']","['waterglass', 'computer', 'cabinet']",False,False,680,0.738818883895874,64,6,"['Walk(waterglass)', 'RightGrab(waterglass)', 'Walk(computer)', 'SwitchOn(computer)', 'Walk(cabinet)', 'RightPut(waterglass,cabinet)']",117
IsOn_plate_nightstand & IsSwitchedOn_computer & IsNear_self_cutleryknife,"['Walk_plate', 'RightGrab_plate', 'Walk_computer', 'SwitchOn_computer', 'Walk_nightstand', 'RightPut_plate_nightstand', 'Walk_cutleryknife']","['Walk_cutleryknife', 'RightGrab_cutleryknife', 'Walk_nightstand', 'RightPut_cutleryknife_plate', 'Walk_computer', 'SwitchOn_computer']","['Walk', 'RightGrab', 'SwitchOn', 'RightPut']","['plate', 'computer', 'nightstand', 'cutleryknife']",False,False,1298,2.51747727394104,79,7,"['Walk(plate)', 'LeftGrab(plate)', 'Walk(nightstand)', 'LeftPut(plate,nightstand)', 'Walk(computer)', 'SwitchOn(computer)', 'Walk(cutleryknife)']",196
IsOn_juice_kitchentable & IsNear_self_sofa & IsOn_bananas_plate,"['Walk_bananas', 'LeftGrab_bananas', 'Walk_juice', 'RightGrab_juice', 'Walk_kitchentable', 'RightPut_juice_kitchentable', 'Walk_plate', 'LeftPut_bananas_plate', 'Walk_sofa']","['Walk_juice', 'RightGrab_juice', 'Walk_kitchentable', 'RightPut_juice_kitchentable', 'Walk_sofa', 'RightGrab_bananas', 'Walk_plate', 'LeftPut_bananas_plate']","['Walk', 'LeftGrab', 'RightGrab', 'RightPut', 'LeftPut']","['bananas', 'juice', 'kitchentable', 'plate', 'sofa']",False,False,941,1.0984067916870117,97,9,"['Walk(bananas)', 'LeftGrab(bananas)', 'Walk(plate)', 'LeftPut(bananas,plate)', 'Walk(juice)', 'RightGrab(juice)', 'Walk(kitchentable)', 'RightPut(juice,kitchentable)', 'Walk(sofa)']",289
IsSwitchedOn_coffeemaker & IsOpen_stove,"['Walk_stove', 'Open_stove', 'Walk_coffeemaker', 'SwitchOn_coffeemaker']","['Walk_coffeemaker', 'SwitchOn_coffeemaker', 'Walk_stove', 'Open_stove']","['Walk', 'Open', 'SwitchOn']","['stove', 'coffeemaker']",False,False,8,0.016537904739379883,41,4,"['Walk(coffeemaker)', 'SwitchOn(coffeemaker)', 'Walk(stove)', 'Open(stove)']",85
IsSwitchedOn_computer & IsNear_self_chips & IsSwitchedOn_lightswitch,"['Walk_computer', 'SwitchOn_computer', 'Walk_lightswitch', 'SwitchOn_lightswitch', 'Walk_chips']","['Walk_computer', 'SwitchOn_computer', 'Walk_chips', 'RightGrab_chips']","['Walk', 'SwitchOn']","['computer', 'lightswitch', 'chips']",False,False,312,0.30159616470336914,61,5,"['Walk(lightswitch)', 'SwitchOn(lightswitch)', 'Walk(computer)', 'SwitchOn(computer)', 'Walk(chips)']",117
IsSwitchedOn_tablelamp & IsOpen_dishwasher,"['Walk_dishwasher', 'Open_dishwasher', 'Walk_tablelamp', 'SwitchOn_tablelamp']","['Walk_tablelamp', 'SwitchOn_tablelamp', 'Walk_dishwasher', 'Open_dishwasher']","['Walk', 'Open', 'SwitchOn']","['dishwasher', 'tablelamp']",False,False,8,0.015002727508544922,41,4,"['Walk(tablelamp)', 'SwitchOn(tablelamp)', 'Walk(dishwasher)', 'Open(dishwasher)']",85
IsOn_milk_plate & IsNear_self_Bench,"['Walk_milk', 'LeftGrab_milk', 'Walk_plate', 'LeftPut_milk_plate', 'Walk_Bench']","['Walk_milk', 'RightGrab_milk', 'Walk_plate', 'RightPut_milk_plate']","['Walk', 'LeftGrab', 'LeftPut']","['milk', 'plate', 'Bench']",False,False,6,0.0029993057250976562,56,5,"['Walk(milk)', 'RightGrab(milk)', 'Walk(plate)', 'RightPut(milk,plate)', 'Walk(Bench)']",128
IsSwitchedOn_lightswitch & IsOn_juice_stove,"['Walk_lightswitch', 'SwitchOn_lightswitch', 'Walk_juice', 'LeftGrab_juice', 'Walk_stove', 'LeftPut_juice_stove']","['Walk_lightswitch', 'SwitchOn_lightswitch', 'Walk_juice', 'RightGrab_juice', 'Walk_stove', 'RightPut_juice_stove']","['Walk', 'SwitchOn', 'LeftGrab', 'LeftPut']","['lightswitch', 'juice', 'stove']",False,False,13,0.025005102157592773,64,6,"['Walk(lightswitch)', 'SwitchOn(lightswitch)', 'Walk(juice)', 'RightGrab(juice)', 'Walk(stove)', 'RightPut(juice,stove)']",117
IsNear_self_book & IsIn_chips_dishwasher & IsClose_dishwasher,"['Walk_chips', 'RightGrab_chips', 'Walk_dishwasher', 'Open_dishwasher', 'RightPutIn_chips_dishwasher', 'Close_dishwasher', 'Walk_book']","['Walk_dishwasher', 'Close_dishwasher', 'Walk_book', 'RightGrab_book', 'RightPut_book_dishwasher', 'Walk_chips', 'RightGrab_chips', 'RightPutIn_chips_dishwasher']","['Walk', 'RightGrab', 'Open', 'RightPutIn', 'Close']","['chips', 'dishwasher', 'book']",False,False,14,0.1180260181427002,66,7,"['Walk(chips)', 'RightGrab(chips)', 'Walk(dishwasher)', 'Open(dishwasher)', 'RightPutIn(chips,dishwasher)', 'Close(dishwasher)', 'Walk(book)']",208
IsIn_chicken_fridge & IsClose_fridge & IsNear_self_toaster,"['Walk_chicken', 'RightGrab_chicken', 'Walk_fridge', 'Open_fridge', 'RightPutIn_chicken_fridge', 'Close_fridge', 'Walk_toaster']","['Walk_chicken', 'RightGrab_chicken', 'Walk_fridge', 'Close_fridge']","['Walk', 'RightGrab', 'Open', 'RightPutIn', 'Close']","['chicken', 'fridge', 'toaster']",False,False,240,0.2920653820037842,66,7,"['Walk(chicken)', 'RightGrab(chicken)', 'Walk(fridge)', 'Open(fridge)', 'RightPutIn(chicken,fridge)', 'Close(fridge)', 'Walk(toaster)']",208
IsNear_self_cupcake & IsIn_juice_stove & IsClose_stove,"['Walk_juice', 'RightGrab_juice', 'Walk_stove', 'Open_stove', 'RightPutIn_juice_stove', 'Close_stove', 'Walk_cupcake']","['Walk_cupcake', 'RightGrab_cupcake', 'Walk_juice', 'RightGrab_juice', 'Walk_stove', 'RightPutIn_juice_stove']","['Walk', 'RightGrab', 'Open', 'RightPutIn', 'Close']","['juice', 'stove', 'cupcake']",False,False,14,0.03600811958312988,66,7,"['Walk(juice)', 'RightGrab(juice)', 'Walk(stove)', 'Open(stove)', 'RightPutIn(juice,stove)', 'Close(stove)', 'Walk(cupcake)']",208
IsNear_self_wine & IsSwitchedOn_dishwasher,"['Walk_dishwasher', 'SwitchOn_dishwasher', 'Walk_wine']","['Walk_wine', 'RightGrab_wine', 'Walk_dishwasher', 'SwitchOn_dishwasher']","['Walk', 'SwitchOn']","['dishwasher', 'wine']",False,False,4,0.0030012130737304688,38,3,"['Walk(dishwasher)', 'SwitchOn(dishwasher)', 'Walk(wine)']",57
IsNear_self_tv & IsIn_book_dishwasher & IsClose_dishwasher,"['Walk_book', 'RightGrab_book', 'Walk_dishwasher', 'Open_dishwasher', 'RightPutIn_book_dishwasher', 'Close_dishwasher', 'Walk_tv']","['Walk_tv', 'RightGrab_tv', 'Walk_dishwasher', 'Open_dishwasher', 'RightPutIn_book_dishwasher', 'Close_dishwasher']","['Walk', 'RightGrab', 'Open', 'RightPutIn', 'Close']","['book', 'dishwasher', 'tv']",False,False,662,1.0449435710906982,66,7,"['Walk(book)', 'RightGrab(book)', 'Walk(dishwasher)', 'Open(dishwasher)', 'RightPutIn(book,dishwasher)', 'Close(dishwasher)', 'Walk(tv)']",208
IsNear_self_nightstand & IsOn_chicken_bathroomcounter & IsOn_milk_plate,"['Walk_chicken', 'RightGrab_chicken', 'Walk_bathroomcounter', 'RightPut_chicken_bathroomcounter', 'Walk_milk', 'LeftGrab_milk', 'Walk_plate', 'LeftPut_milk_plate', 'Walk_nightstand']","['Walk_chicken', 'RightGrab_chicken', 'Walk_bathroomcounter', 'RightPut_chicken_bathroomcounter', 'Walk_milk', 'LeftGrab_milk', 'Walk_plate', 'LeftPut_milk_plate']","['Walk', 'RightGrab', 'RightPut', 'LeftGrab', 'LeftPut']","['chicken', 'bathroomcounter', 'milk', 'plate', 'nightstand']",False,False,24,0.03300762176513672,97,9,"['Walk(chicken)', 'RightGrab(chicken)', 'Walk(milk)', 'LeftGrab(milk)', 'Walk(plate)', 'LeftPut(milk,plate)', 'Walk(bathroomcounter)', 'RightPut(chicken,bathroomcounter)', 'Walk(nightstand)']",303
IsNear_self_faucet & IsOpen_dishwasher,"['Walk_dishwasher', 'Open_dishwasher', 'Walk_faucet']","['Walk_faucet', 'SwitchOn_faucet', 'Walk_dishwasher', 'Open_dishwasher']","['Walk', 'Open']","['dishwasher', 'faucet']",False,False,4,0.002000570297241211,33,3,"['Walk(dishwasher)', 'Open(dishwasher)', 'Walk(faucet)']",57
IsOn_chocolatesyrup_desk & IsNear_self_chicken,"['Walk_chocolatesyrup', 'LeftGrab_chocolatesyrup', 'Walk_desk', 'LeftPut_chocolatesyrup_desk', 'Walk_chicken']","['Walk_chocolatesyrup', 'RightGrab_chocolatesyrup', 'Walk_desk', 'RightPut_chocolatesyrup_desk', 'Walk_chicken']","['Walk', 'LeftGrab', 'LeftPut']","['chocolatesyrup', 'desk', 'chicken']",False,False,6,0.0030007362365722656,56,5,"['Walk(chocolatesyrup)', 'RightGrab(chocolatesyrup)', 'Walk(desk)', 'RightPut(chocolatesyrup,desk)', 'Walk(chicken)']",128
IsOpen_dishwasher & IsNear_self_book,"['Walk_dishwasher', 'Open_dishwasher', 'Walk_book']","['Walk_dishwasher', 'Open_dishwasher']","['Walk', 'Open']","['dishwasher', 'book']",False,False,4,0.002000570297241211,33,3,"['Walk(dishwasher)', 'Open(dishwasher)', 'Walk(book)']",57
